27,511088,3876,"ESC.  BÁS. Nº 3.130 ""MARÍA AUXILIDORA""",3130,YHÚ ,SIDEPAR 1ª P.U.,RURAL,_,R10,200,E.B.B.,AULAS,3,_,TERMINACIÓN PROYECTO ALA,CAAGUAZU,5
43,507004,3627,"ESC. BÁS. Nº 3190 ""SAGRADA FAMILIA""",3190,REPATRIACIÓN,AS. CIERVO CUÁ,RURAL,AS. CIERVO CUÁ,2ZB,121,"E.B.B. !º, 2º ,3º C",AULAS,5,_,POR DETERIORO DE LA CONSTRUCCIÓN,CAAGUAZU,5
20,,,ESC. BÁS. Nº 3237 NIÑO JESÚS,3237,JUAN DE MENA,LOMA JHOVY,RURAL,-,4,95,E.I. Y E.B.B.,"AULAS, BAÑOS",4,2,REPARACIÓN DE AULAS Y BAÑOS URGENTE,CORDILLERA,3
60,,,ESC. BÁS. Nº 3237 NIÑO JESÚS,3237,JUAN DE MENA,ASENTAMIENTO,RURAL,LOMA JHOVY,4,117,E.B.B.,AULAS,4,1,MEJORAR EL AMBIENTE FISICO ESCOLAR,CORDILLERA,3
115,7537,17711,ESC. BÁS. N° 3278 VIRGEN DE CAACUPÉ ,3278,AREGUÁ,VILLA AMPARO,URBANA,--------------------------,R3,205,"1°,2°,3° CICLO E.B.B.",AULAS,6,1,"REPARACIÓN DE PISOS, RASGADURAS EN LAS PAREDES Y PIZARRONES, PINTURAS SE NECESITAN PLANOS ACTUALIZADOS",CENTRAL,11
69,502085,3367,"ESC. BÁS. Nº 3308 ""DELIA ELISA DUARTE SCAVONE""",3308,CAAGUAZÚ,Bº EMPALADO MÍ,RURAL,_,4,80,E.B.B.,AULAS,6,_," NECESITA DE REPARACIÓN DE AULA,  TECHO Y LA PARTE ELÉCTRICA",CAAGUAZU,5
98,,,N° 3394 MARTIRES DE ACOSTA ÑU,3394,SAN RAFAEL DEL PRANÁ ,BARRIO PORVENIR 1° LINEA,RURAL,-,R3 Z2,24,1° C,AULAS,7m x 6m,,EL TECHO NECESITA REPARARSE.,ITAPUA,7
131,7541,17952,ESC. BÁS. N° 3528 NIÑO SALVADOR DEL MUNDO FE Y ALEGRÍA ,3528,AREGUÁ,CAACUPEMI,URBANA,--------------------------,R3,570,"1°,2°,3° CICLO E.B.B.",TECHO,13,-,"EL TECHO DE 13 AULAS NECESITAN SER CAMBIADAS, POR ATENTAR CONTRA LA VIDA DE LOS ALUMNOS",CENTRAL,11
237,7541,17952,ESC. BÁS. N° 3528 NIÑO SALVADOR DEL MUNDO FE Y ALEGRÍA ,3528,AREGUÁ,CAACUPEMI,URBANA,--------------------------,R3,570,"1°,2°,3° CICLO E.B.B.",TECHO,13,-,"EL TECHO DE 13 AULAS NECESITAN SER CAMBIADAS, POR ATENTAR CONTRA LA VIDA DE LOS ALUMNOS",CENTRAL,11
1,1117016,17699,ESC. BÁS. N° 3628 MBOCAYA POTY,3628,YPACARAÍ,MBOCAYATY,URBANA,--------------------------,R6,30,E.B.B.,AULAS,3,3,AULAS DAÑADAS POR LA CAIDA DE UN ARBOL SOBRE LAS MISMAS,CENTRAL,11
